1000000 5 0.1 10000
241904 341904 133800 174229 108163 
181444 193649 281444 171732 171731 
168208 169850 268208 182721 211013 
340394 440394 108834 53426 56952 
176334 276334 212873 162249 172210 
171821 198189 271821 180175 177994 
264553 364553 134318 109397 127179 
372290 54890 51569 472290 48961 
251630 163917 99615 351630 133208 
414554 32130 15049 23713 514554 
326026 426026 83163 116650 48135 
183625 203672 181079 147999 283625 
125584 216087 218546 214199 225584 
405838 22527 22178 43619 505838 
358173 53632 458173 65548 64474 
352643 48309 70752 452643 75653 
303627 109025 403627 64544 119177 
344341 65605 77980 67733 444341 
125949 217380 216181 214541 225949 
427618 14459 527618 14779 15526 
430937 13795 10310 530937 14021 
195348 151383 178075 179846 295348 
326176 79402 80822 87424 426176 
239126 339126 178572 111794 131382 
221579 131217 321579 152756 172869 
261866 361866 137022 71584 167662 
380918 56798 28887 480918 52479 
140494 240494 222111 206337 190564 
155989 215898 255989 199142 172982 
378329 42329 68969 478329 32044 
206401 179651 140521 306401 167026 
341620 441620 69367 64703 82690 
421840 22582 23807 521840 9931 
394558 31070 494558 41295 38519 
195712 151391 295712 187401 169784 
270060 154889 91293 370060 113698 
398019 28292 498019 32906 42764 
381766 43158 55454 481766 37856 
344880 444880 54651 82234 73355 
324864 424864 84342 120614 45316 
317453 53115 137479 417453 74500 
171915 160707 228591 271915 166872 
290788 390788 183265 78540 56619 
193275 211181 162236 293275 140033 
156078 256078 188045 191736 208063 
227271 148775 160139 136544 327271 
423462 18664 523462 17862 16550 
146730 246730 202077 195628 208835 
253592 353592 104357 135081 153378 
284877 84790 121495 384877 123961 
235930 174639 335930 117432 136069 
299082 55933 399082 175382 70521 
262065 121870 362065 132665 121335 
283794 131222 120458 80732 383794 
127923 208470 218590 217094 227923 
391334 51654 491334 29007 36671 
181603 281603 207686 154849 174259 
413196 21094 22418 30096 513196 
239444 148947 339444 138994 133171 
273370 95267 76631 181362 373370 
406699 506699 25543 25901 35158 
375032 59969 35616 475032 54351 
410387 510387 22436 29077 27713 
139439 214169 239439 192732 214221 
132247 212284 212478 210744 232247 
231440 120447 331440 150568 166105 
416758 16820 516758 26247 23417 
313634 413634 100931 88852 82949 
305714 96857 405714 102790 88925 
178652 174154 184391 278652 184151 
129459 229459 220245 206948 213889 
248554 348554 175486 111941 115465 
204004 166710 182542 304004 142740 
308267 408267 105699 78247 99520 
194820 216238 294820 129870 164252 
241084 149436 341084 127775 140621 
272114 152479 372114 97501 105792 
445499 545499 3640 2427 2935 
363009 55698 59215 59069 463009 
194365 190137 136598 294365 184535 
389156 39366 489156 38369 43953 
445706 545706 3081 2316 3191 
289723 56074 118096 389723 146384 
170379 177179 210213 270379 171850 
349908 103369 67668 29147 449908 
122557 217664 222557 217591 219631 
136160 209927 198858 218895 236160 
235310 119511 144299 165570 335310 
189921 183992 166008 289921 170158 
122849 216284 218383 222849 219635 
432033 532033 11585 12225 12124 
383585 58062 32901 41867 483585 
280004 101749 126024 380004 112219 
226054 149253 326054 171739 126900 
356285 69989 77748 456285 39693 
314092 414092 81150 101246 89420 
166471 173996 204282 188780 266471 
254393 131706 141937 117571 354393 
387991 42967 487991 51401 29650 
203816 125937 201134 165297 303816 
262457 107536 82156 362457 185394 
309694 76876 409694 90636 113100 
256951 136477 111971 356951 137650 
383989 42924 483989 46674 42424 
378633 38860 53793 478633 50081 
389282 54024 30639 36773 489282 
165168 181674 194117 265168 193873 
217519 201451 134723 128788 317519 
202640 189777 302640 137216 167727 
247619 103271 347619 188451 113040 
443349 543349 6604 1338 5360 
435284 535284 3538 18766 7128 
359325 96083 459325 42679 42588 
153125 203367 204210 253125 186173 
310829 80432 69528 128382 410829 
292155 115188 73339 127163 392155 
183832 179530 179880 283832 172926 
406994 36960 506994 15426 33626 
335273 435273 68257 66975 94222 
240158 157114 93845 340158 168725 
299975 124840 90004 399975 85206 
424348 16518 524348 14476 20310 
216392 156224 160461 150531 316392 
144648 198801 209115 244648 202788 
268367 368367 146434 119486 97346 
288214 388214 89815 133637 100120 
409376 30447 28824 21977 509376 
211177 175859 144743 157044 311177 
413517 513517 17651 33198 22117 
438756 538756 7715 5950 8823 
351253 70430 80460 46604 451253 
147205 206584 200205 198801 247205 
