1000000 5 1.0 10000
205200 52000 577000 24800 141000 
283400 361400 194600 39600 121000 
174600 80400 28000 210200 506800 
70800 494200 150400 164400 120200 
214800 21000 512400 176000 75800 
160000 91200 310200 287800 150800 
283400 121000 361400 39600 194600 
39600 361400 121000 283400 194600 
153800 59600 168000 83200 535400 
80600 111000 233600 307200 267600 
218200 285000 328800 86200 81800 
161400 155400 501000 56400 125800 
63200 190600 84800 511200 150200 
195800 112400 217600 217000 257200 
20000 176200 166200 157400 480200 
87600 158800 607400 123600 22600 
229000 308600 126000 28400 308000 
145200 62200 188600 456600 147400 
110800 539800 77800 60800 210800 
24800 228200 577400 89400 80200 
182400 185000 20200 550000 62400 
99600 340200 250600 152200 157400 
145800 77800 21600 94200 660600 
183600 119000 481800 61600 154000 
208200 205600 144000 30000 412200 
67600 204000 450600 125400 152400 
24600 213200 149000 83800 529400 
135600 396400 27400 231400 209200 
89200 316400 165200 24800 404400 
162200 256800 318000 150800 112200 
166400 210800 64000 72400 486400 
289000 303200 79000 117200 211600 
90000 222800 78600 313400 295200 
134400 84400 189000 440200 152000 
261200 266400 91400 202000 179000 
105200 28800 634400 62400 169200 
183600 64200 530400 199200 22600 
55600 96000 176000 186200 486200 
87000 20200 179600 167000 546200 
59000 538400 171000 170200 61400 
87400 434400 128600 157400 192200 
157000 349600 360400 35600 97400 
79600 18800 123200 218600 559800 
119000 164600 85400 176600 454400 
217600 254600 176000 90400 261400 
131000 226400 289200 118600 234800 
115800 374600 103000 378400 28200 
205200 307800 81800 300000 105200 
148000 259200 243200 324000 25600 
152000 139600 174400 116600 417400 
176200 480200 157400 166200 20000 
112200 150800 162200 318000 256800 
29200 251600 150400 300600 268200 
91000 305800 26200 241200 335800 
279800 301000 223600 120400 75200 
42200 258800 161600 288800 248600 
265600 256800 22600 131400 323600 
149400 109000 488800 220200 32600 
337200 29600 109400 103000 420800 
77800 539800 110800 210800 60800 
73200 154400 198600 439600 134200 
154000 303200 86600 365200 91000 
228400 100600 128600 298400 244000 
183200 236000 231000 167600 182200 
218200 86200 328800 81800 285000 
115800 185800 43600 484600 170200 
129600 502000 199400 73000 96000 
231000 236000 183200 167600 182200 
35600 360400 157000 97400 349600 
244000 100600 128600 298400 228400 
218400 263400 81800 221000 215400 
205400 466000 170600 134000 24000 
218200 328800 285000 86200 81800 
67400 198600 23400 102000 608600 
115800 43600 484600 170200 185800 
231400 273200 200800 275800 18800 
120400 75200 223600 279800 301000 
91400 202000 266400 179000 261200 
205200 307800 105200 300000 81800 
24400 74400 154600 553600 193000 
168000 104000 390800 21600 315600 
282200 103000 211800 81000 322000 
73200 201400 204600 252000 268800 
321200 91400 28000 230200 329200 
189800 143600 542000 48000 76600 
282200 103000 81000 322000 211800 
51600 479000 110800 138600 220000 
21400 155600 103000 362800 357200 
123200 218600 559800 18800 79600 
214800 176000 512400 21000 75800 
24800 89400 80200 228200 577400 
285000 81800 218200 86200 328800 
73000 175800 445600 146200 159400 
210800 60800 77800 539800 110800 
221400 125200 77600 258400 317400 
135800 50400 208800 86400 518600 
301400 323000 240400 93000 42200 
204000 125400 450600 152400 67600 
183200 45400 554000 130600 86800 
